Key,English [en-GB]
event_abandonedcart_eat_poison,"The food smells slightly odd, but you greedily eat your fill from the barrel nonetheless.

As you turn to leave, your stomach suddenly starts to gurgle and growl loudly. A few moments later, and you find yourself keeled over in the bushes, vomiting profusely.

Perhaps you'll think twice next time before consuming mysteriously abandoned food."
event_abandonedcart_eat_strengthen,"The food in the barrel is far superior to the supplies you brought with you - soft loaves of seeded bread, strips of dry-cured meat, fresh fruits and vegetables - a true feast! You fashion a hearty meal from the barrel's contents and eat your fill.

Feeling invigorated, you continue down the road."
event_abandonedcart_leave,"Tempting as the food poking out of the barrel may be, you decide to leave the cart alone lest the owner return, and continue down the path."
event_abandonedcart_leave2,"As you begin to walk away, there is a sudden rustling of leaves from the bushes by the side of the road. A short, portly man emerges from the bushes, hoisting his breeches when he spots you and jumps slightly in surprise.

'Oh! Well met, fellow travellers,' he says, nodding his head in greeting. He looks over at his cart and smiles. 'Thank you for not stealing from my cart while I was... preoccupied. Y'know, I have more food than I could possibly eat back there - you're welcome to join me for a meal.'

You accept the man's offer and partake in a meal far superior to the meagre supplies you brought with you. You finish your meal and part ways with the kind man, invigorated by the fine meal you consumed."
event_abandonedcart_leave_a,Leave
event_abandonedcart_leave_gained,"Tempting as the food poking out of the barrel may be, you decide to leave the cart alone lest the owner return, and continue down the path."
event_adaggerinthechest,"The looted body of an Inox lies slumped against a tree stump up ahead. As you get closer, you notice a dagger protruding from her chest."
event_adaggerinthechest_a,Remove the dagger
event_adaggerinthechest_b,Leave her be
event_adaggerinthechest_daggerremoved,The corroded blade breaks off as you try to remove the dagger from her chest. You toss the useless hilt aside and continue down the road.
event_adaggerinthechest_daggerremoved_gained1,"The corroded blade breaks off as you try to remove the dagger from her chest, and you manage to cut yourself on the broken blade. You are suddenly overcome with a feeling of intense sickness - it would appear that the blade was coated in poison.

You toss the useless hilt aside and continue down the road, feeling awful."
event_adaggerinthechest_daggerremoved_gained2,"The corroded blade breaks off as you try to remove the dagger from her chest. As you toss the useless hilt aside, you catch the glint of a small amount of coins clenched tightly in her fist.

You pry them from her grasp and continue down the road."
event_adaggerinthechest_leave,You leave the body of the Inox be and continue down the road.
event_adiscardedflask,"You happen upon a stoppered flask lying in the road, clearly dropped by some clumsy adventurer. You pick up the flask and notice that there is still a good amount inside, and you are feeling a tad thirsty..."
event_adiscardedflask_a,Take a drink
event_adiscardedflask_b,Leave the flask alone
event_adiscardedflask_drinkdrunk,"The flask merely contains a small amount of refreshing water. You drink your fill and continue down the road, your thirst thoroughly quenched."
event_adiscardedflask_drinkdrunk_gained1,"You have no idea what it is exactly that you are drinking, but it sure is good!

You share the hearty brew around the party, feeling invigorated as you journey onward."
event_adiscardedflask_drinkdrunk_gained2,"As you raise the flask to your lips you notice the overpowering stench of strong alcohol, but decide to try nonetheless. Despite your coughing, spluttering and likening of the drink to liquid fire your party members are all too keen to try the strong brew.

With the flask now empty, you all stumble onwards, somewhat inebriated."
event_adiscardedflask_leave,You resist the urge to drink and toss the flask aside. Perhaps random drinks are best left undrunk!
event_adownedtraveler,"At a fork in the road you spot a figure up ahead, resting beside a gnarled tree trunk. They appear hunched over, with one hand grasping their chest. As you tentatively get closer they notice you and beckon you over.

“Hey, over here! Please, help me!”

There’s a note of desperation in their voice, and a pained groan as the stranger waves to get your attention. However, beneath the tree’s shadow, you can’t quite make out who or what they might be. Could this plea for help be a trap? The surrounding bushes are the perfect place for accomplices to hide, potentially waiting to pounce and rob you."
event_adownedtraveler_a,Approach the tree with caution
event_adownedtraveler_b,Find another route
event_adownedtraveler_help,"As you draw nearer you see a rocky Savvas in agony, clutching at deep cracks in its glassy chest. It certainly looks like it has seen better days. It looks up to you, hopeful.
 
“I ask only for a small amount of compassion and aid. There is a temple nearby that can treat my wounds, but I haven't enough gold for treatment. If you can you spare some gold, I will reward you with what I can."""
event_adownedtraveler_help_a,Take pity on the poor Savvas.
event_adownedtraveler_help_a_subtext,(Lose ¬ADownedTraveler_Pity.GoldAmount¬ Gold)
event_adownedtraveler_help_b,"Scoff. There’s no use helping a Savvas with a cracked core, its as good as dead."
event_adownedtraveler_leave,"Wary of an ambush, you take a circuitous route through the undergrowth, thorned bushes pulling at your clothes. You lose the path entirely and spend hours being pricked and scratched by all manner of flora before finally stumbling upon the route again, bleeding and thoroughly miserable."
event_adownedtraveler_pity,"You hand the Savvas the gold, who grimaces as it rises to its feet, thanking you for your charity. It holds up a small pulsating crystal, bathing you in a green light.

You feel a rush of energy as you bask in its glow. The Savvas bids you farewell and you wish it a speedy recovery, before you head in opposite directions down the path."
event_adownedtraveler_scoff,"You leave the Savvas to its fate and continue on. As you walk away, you hear it muttering something under its breath. A painfully icy chill runs down your spine, and you can't help but wonder whether the Savvas cursed you with ice magic..."
event_afatefulencounter,"With the darkness of night drawing ever closer, you scan your surroundings for shelter from that which lurks within the shadows. You notice a light emanating from a nearby cave. and decide to investigate. 

Cautiously moving towards the light, you find that inside a cave sits a lone Orchid in meditation, who seems oblivious to your presence. The glow from the large crystals on her skin illuminate the entirety of the cave.

You see paintings on the cave walls that appear to depict previous quests you have undertaken, even the very journey that took you to this cave. Next to the Orchid lies some chalk, rations and a bag of coins."
event_afatefulencounter_a,Wait for the Orchid to finish meditating
event_afatefulencounter_b,Take the coins and leave
event_afatefulencounter_take_gold,"The light shining from the Orchid's crystals is almost blinding as you edge your way closer and closer to the bag of coins. Somehow you manage to swipe the bags without disturbing the Orchid and hightail it out of the cave.

As you open up the bag you find a small scrap of parchment alongside the coins, with another drawing, this time of you holding the bag in your hands and reading that very note. You wonder if the Orchid could have rewarded you with more than gold had you not stolen from her..."
event_afatefulencounter_take_muddle,"The light shining from the Orchid's crystals is almost blinding as you edge your way closer and closer to the bag of coins. As you carefully lift up the bag as quietly as you can, you notice a faint drawing on the floor of you taking it and the bolt of lightning hitting you… 

You wake up on the floor of the cave the next morning, somewhat singed. Thankfully you are still in one piece, and even still have the coins - along with the worst splitting headache you've ever had."
event_afatefulencounter_wait,"You wait for the Orchid to finish her meditation. Finally, at the break of dawn, you gaze tired and exhausted at the Orchid as the glow from her crystals begins to fade. She slowly opens her amethyst eyes.

“Greetings travelers, I have been expecting you.” The Orchid announces, smiling coyly as she gathers her belongings. ""You undoubtedly have many questions, but I unfortunately have little time. Before I depart, allow me to read the signs to see what is in store for you...""

Without looking away from you, she gestures to one of the cave paintings - one that you are certain was not there before - depicting this very conversation you are having with the Orchid."
event_afatefulencounter_wait_a,Continue
event_afatefulencounter_wait_curse,"The Orchid closes her eyes again and gestures with her other hand to an empty spot on the wall. She whispers something that you can't quite comprehend before the image of a small spider forms.

""The spider is cursed with a lonely existence, working long and hard on her web in solitude. Those that would dare disturb her feel her venom.""

Before you can ask her what she means, she snaps her fingers and disappears, and with her all of the cave paintings - only rough-hewn rock remains. You prepare yourselves for the day's journey, pondering what it was exactly that she meant."
event_afatefulencounter_wait_gold,"The Orchid closes her eyes again and gestures with her other hand to an empty spot on the wall. She whispers something that you can't quite comprehend before the image of a bag of coins forms.

""Wealth brings joy to many, but the distraction of gold leads to a lack of focus - fortune into misfortune.""

Before you can ask her what she means, she snaps her fingers and disappears, and with her all of the cave paintings - only rough-hewn rock remains. The only thing left of her posessions is the bag of coins she was sat next to. You take it and prepare yourselves for the day's journey, pondering what it was exactly that she meant."
event_afatefulencounter_wait_xp,"The Orchid closes her eyes again and gestures with her other hand to an empty spot on the wall. She whispers something that you can't quite comprehend before the image of a penitent man forms, with his hands clasped together.

""There is much to be learned from our errors, but do not be consumed by your contrition.""

Before you can ask her what she means, she snaps her fingers and disappears, and with her all of the cave paintings - only rough-hewn rock remains. Perhaps she has great insight, or perhaps it was just nonsense, but you feel as though you have learned something about yourself in this cave - although having stayed up all night will take its toll physically."
event_ambushaftermath,"There was a massacre here - the bodies of a group of clerics and healers lie strewn across the path. Whoever killed these people appears to be long gone.

They could still have valuables should you choose to loot them, but you also wonder whether the powers that be might smile upon those that would bury them."
event_ambushaftermath_a,Loot the bodies
event_ambushaftermath_b,Bury the bodies
event_ambushaftermath_bury2,"Somehow you get the feeling that despite your good intentions with burying the dead, the fact you looted them first negates this good deed somewhat."
event_ambushaftermath_bury_bless,"You feel that you have done the right thing in burying these poor souls. Content with your good deed, you journey onward."
event_ambushaftermath_bury_disarm,"Just as you are about to start digging, you hear the snap of a twig underfoot. You look up to find yourself suddenly surrounded by a small group of not-so-long-gone bandits - it's an ambush! There's nowhere to run. You've no choice but to fight them."
event_ambushaftermath_c,Leave
event_ambushaftermath_fight,"Despite being outnumbered and caught off guard by the bandits, it eventually becomes clear to them that you are far tougher than the previous group they ambushed. As they begin to turn tail and run, you notice one of the bandits running off with what little loot there was left from their previous ambush.

You decide not to stay and find out if the bandits intend to return with reinforcements!"
event_ambushaftermath_leave,"Whoever killed these people could return at any moment, and you don't quite fancy meeting the same fate - you hurriedly leave the area."
event_ambushaftermath_loot,"The corpses have been picked clean already, there is nothing of value left at all."
event_ambushaftermath_loot_a,Bury the bodies
event_ambushaftermath_loot_b,Leave
event_ambushaftermath_loot_disarm,"As you begin to sift through corpses and their belongings, you hear the snap of a twig underfoot. You look up to find yourself suddenly surrounded by a small group of not-so-long-gone bandits - it's an ambush! There's nowhere to run. You've no choice but to fight them."
event_ambushaftermath_loot_disarm_a,Fight the bandits
event_ambushaftermath_loot_gold,"None of the gear is in good enough condition to be of use, with anything of worth likely having been looted already by whoever killed these people. You do manage to find a small quantity of gold tucked away in the pocket of one of the deceased however!"
event_ambushaftermath_loot_item,"Much of the gear is in too poor a condition to be of use, with anything of worth likely having been looted already. However, you do manage to find one item which could be of use to you, that whoever killed these people must have missed!"
event_ashortcut,"Tired of traversing a tedious route around a dense forest, you contemplate taking a path straight through the maze of branches to shorten your journey time considerably. You notice a slight clearing behind the bushes up ahead that could prove to be a shortcut through the dense forest."
event_ashortcut_a,Try the potential shortcut
event_ashortcut_b,Continue down the road
event_ashortcut_berries,"The berries are somehow unremarkable in just about every aspect. You rejoin the road without bothering to take any of the bland berries with you, pleased that the shortcut was a success."
event_ashortcut_berries_gained1,"The berries not only taste foul, but seem to be poisonous too! Why exactly each and every member of your party decided to try the berries you're not quite sure, but you all feel dreadful as you now rejoin the road, clutching at your stomachs."
event_ashortcut_berries_gained2,"The berries not only taste great, but seem to have invigorating properties of some kind - you feel better than you have in months! You fill your pockets to the brim with the delicious berries and rejoin the road."
event_ashortcut_continuedownroad,"After mulling it over, you decide it's perhaps best to continue down the road."
event_ashortcut_taketheshortcut,"The clearing continues on through the forest and you are pleased to make it through to the other side. At the forest's edge, you are just about to rejoin the road when you notice a small patch of bushes nearby, adorned with strange purple berries."
event_ashortcut_taketheshortcut_a,Try the berries
event_ashortcut_taketheshortcut_b,Continue down the road
event_bloodyvalrath,"While passing through a graveyard, you notice fresh footprints in the dirt, meandering from grave to grave. A feeling of dread grows inside you as you track the passage of the footprints, when suddenly a man’s piercing scream cuts through the eerie silence. 

You tentatively sneak over to the origin of the scream to find a female Valrath, and in front of her a dead man beside an open grave. He is wearing a torn dark cloak, often worn by cultists, and you can see from his wounds that he had a bloody and violent death.

The Valrath woman is wearing a magnificent necklace and dress typical of Valrath high society, bulky and colorful.  Something seems amiss however, as you notice the dress is moth-eaten, she has dirt in her hair and her trembling hand is clutching a knife with fresh blood dripping from it."
event_bloodyvalrath_a,Offer assistance
event_bloodyvalrath_a_subtext,The Valrath could well be the victim here...
event_bloodyvalrath_attack,"Despite your attempts at a sneak attack, the Valrath is prepared. She dodges swiftly before leaping towards you, striking powerfully with her knife. You ferociously exchange blows for a while before catching her neck with a well timed strike, sending her severed head flying towards a gravestone.

As soon as her body collapses to the ground it disintegrates into a pile of ash, and the feeling of dread is immediately lifted. Wounded but relieved, you head back to the path, wondering what had transpired between her and the cultist - not to mention who or perhaps <i>what</i> she was..."
event_bloodyvalrath_b,Attack her by surprise
event_bloodyvalrath_b_subtext,She seems potentially dangerous...
event_bloodyvalrath_c,Order her to hand it over
event_bloodyvalrath_c_subtext,The necklace looks valuable...
event_bloodyvalrath_d,Run before she notices you
event_bloodyvalrath_d_subtext,Nothing here seems quite right...
event_bloodyvalrath_help,"You make your presence known and tell her that you mean no harm. She is still trembling, seeming to be in shock. Unable to get any information from her other than that she wants to go home, you give her a few coins, some food for the journey and point her in the direction of the nearest village.

She shyly nods at you as if to say thanks, whispers a few strange words, and slowly turns to leave, the sense of dread lifting from you as she goes."
event_bloodyvalrath_leave,"Whatever is going on here, you want no part of it. You head back towards the forest but you hear the Valrath calling out to you, imploring that you help her. 

Determined to get away, you press on without looking back. The Valrath shrieks something unintellible at you, and the strange feeling of dread grows stronger. As you leave the graveyard, certain that you have been cursed, you wonder what would have happened had you stayed to ""help"" her..."
event_bloodyvalrath_rob,"She turns as if to fight, but upon seeing she is outnumbered, she begrudgingly accepts. She hands over the necklace, cursing and spitting at you with words you have never heard from the mouth of a Valrath before. As she storms away angrily, you examine the corpse of the cultist and wonder what exactly transpired here.

You notice the inscriptions on the necklace match the epitaph on the gravestone above the empty grave... perhaps her name? With all sorts of eerie possibilities running through your head, you suddenly feel very unwell, and shivers run down your spine. You hastily leave the graveyard, hoping that the sickness will pass once you leave this cursed place and sell the necklace at the next opportunity."
event_brokencart,"You come across an elderly wine merchant by the side of the road. One of the wheels of his cart has fallen off and you see him struggling to put it back on. He doesn't seem to notice you as you approach, but it is clear he hasn't the strength to lift the cart to replace the wheel by himself."
event_brokencart_a,Offer to help the wine merchant
event_brokencart_b,Rob the wine merchant
event_brokencart_c,Leave
event_brokencart_drink,"The wine is some of the finest you have ever tasted. Feeling invigorated by the fine vintage, you continue down the road."
event_brokencart_drink2,"The wine tastes foul - you spit it out almost immediately. With nothing else of value to take from the merchant, you leave him to deal with the broken wheel by himself and continue down the road."
event_brokencart_drink2_gained_muddle,"The wine tastes good, but perhaps a little too good - you all drink far more than you probably should. You stumble away, well and truly intoxicated."
event_brokencart_drink2_gained_strengthen,The wine tastes incredible - you all feel invigorated for having consumed such a fine vintage. You leave the merchant to deal with the broken wheel by himself and continue down the road.
event_brokencart_help,"You tap the wine merchant on the shoulder, startling him enough to make him jump into the air.

'GAH! Don't sneak up on an old man like that!'

His beady eyes glance around the party through a pair of dirty, scratched spectacles. Just as you are about to open your mouth to offer assistance, he snaps at you.

'Are you just going to stand there all day? You there, stop gawping and lift the cart up, and you, hold the wheel steady! On the count of three - that is, ON three, NOT after - you're going to lift the wheel and...'

You may be here all day."
event_brokencart_help2,"You manage to get the wheel back onto the cart without too much difficulty, although as far as the merchant is concerned he 'could've done it much more easily without the help of you buffoons!' The merchant continues to rant about your ineptitude as he departs without even an uttering a word of thanks.

As you are about to leave, you notice a bottle of wine has fallen off of the cart into the shrubs by the side of the road. With the merchant already some distance down the road, you decide to take it as repayment for your assistance and share it amongst the party."
event_brokencart_help2_gained,"You manage to get the wheel back onto the cart without too much difficulty, although as far as the merchant is concerned he 'could've done it much more easily without the help of you buffoons!' The merchant continues to rant about your ineptitude as he tosses you a handful of coins for your assistance and departs without even an uttering a word of thanks."
event_brokencart_help2_gained_next,Next
event_brokencart_help_a,Help the wine merchant
event_brokencart_leave,You decide the merchant's problems are none of your concern and pass him by.
event_brokencart_rob,"The merchant cowers behind his cart as he sees you approach with weapons drawn.

""P-Please don't hurt me!"" he stammered. ""I'll give you what little gold I have, a-and you can take as much wine as you like, just please leave me be!""

With trembling hands he reaches down to his belt, removes a small pouch of coins, and tosses it towards you. ""It's all the gold I've got, I swear!""

You pick it up and pocket the gold before picking up a bottle of wine from the cart."
event_brokencart_rob_a,Drink
event_bucketofluck,"Up ahead you notice a peculiar-looking man has set up a stall at a fork in the road. As you get closer, you see a large wooden barrel filled to the brim with what appears to be soil. The words 'Bucket o' Luck' are crudely scrawled on the side.

'Welcome, welcome, one and all!' he calls out to you. 'Fancy trying your luck?'"
event_bucketofluck_a,Approach the stall
event_bucketofluck_approach,"As you approach, you see that the man is covered in a layer of dirt, with it caked under his long, claw-like fingernails. He notices you staring and chuckles. 'Well, I gotta get me prizes from somewhere, don't I?' he says with a wry smile, before awkwardly winking at you.

""¬LoseSmallGold.GoldAmount¬ of your finest gold pieces to play - who knows what ye might find, eh?"""
event_bucketofluck_approach_a,Try your luck
event_bucketofluck_approach_a_subtext,(Lose ¬LoseSmallGold.GoldAmount¬ Gold)
event_bucketofluck_approach_b,Leave
event_bucketofluck_b,Walk on by
event_bucketofluck_gainedloot_gained1,"You feel around inside the barrel for a while, before brushing your hand up against something. You grab it tightly and pull out a pair of leather boots.

""Cor, they've got quite a pong to 'em, don't they?"" He pinches his nose, seemingly oblivious to the fact that he smells far worse than the boots. ""Used to belong to a City Guard, if I remember rightly.""

Looking at the boots, they appear to be well-made from high quality leather, albeit a tad worn. After brushing the dirt off of your arm and the boots, you take your leave."
event_bucketofluck_gainedloot_gained2,"You feel around inside the barrel for a while, before brushing your hand up against something. You grab it tightly and pull out a pair of worn goggles.

""Ah, those things... I could barely see through 'em, truth be told, but I'm sure ye can find more use for 'em than I did.""

Wiping off the dirt and bidding the strange man farewell, you try on the goggles as you continue down the road."
event_bucketofluck_leave,You decide you'd rather not stick your hand into a barrel of who-knows-what. You politely refuse the strange man's offer and take your leave.
event_bucketofluck_playbarrel,"You hand over the gold and he pockets it greedily. ""Go on then, stick yer 'and in!""

You dig your arm deep into the barrel, not exactly sure what to expect."
event_bucketofluck_playbarrel_a,...
event_city_campaign_10_intro,"Relaxing for the evening at the Sleeping Lion, a shifty-looking man approaches you, hand outstretched. In it are a pair of pale dice with crude marks scratched on them.

“Greetings, friends. You look like you could stand to liven things up a bit. Care for a quick game of bone dice with me? I’m sure we could make it interesting.” His other hand pats a coin purse at his side."
event_city_campaign_10_option_a,Play a game with the man. It may prove to be a good time. 
event_city_campaign_10_option_b,Refuse the game of dice. 
event_city_campaign_10_result_a_a,"You get into the game, but after a few rounds, your enthusiasm
wanes as the man displays a streak of luck that can only be described as “uncanny.” You leave the table empty-handed."
event_city_campaign_10_result_a_b,"The man clearly intends to cheat you out of your hard-earned money. He’s not the only one capable of cheating, however. After a few rounds, you wipe that smile right off his face."
event_city_campaign_10_result_b,"You laugh and wave away the man’s offer. You get all the excitement you need fighting toe-to-toe against vicious monsters. In combat, what matters most is planning and tactics, which are far more interesting than some random roll of the dice."
event_city_campaign_11_intro,"“Please, something of interest, sirs.” The words come through in chitters and hisses. You turn your head toward an alley in the Ward of Scales to see a Harrower dressed in crude robes and a mask. It holds out a piece of parchment.

“Something for sirs. Very powerful. Just five gold.”

You can see the parchment has the designs for something on it, but still—you recognize this Harrower. It is known for trading in disreputable goods. You can’t know where that parchment came from, and if anyone saw you dealing with this creature...well, they might get the wrong idea."
event_city_campaign_11_option_a,Make a deal with the Harrower. 
event_city_campaign_11_option_b,Shake your head and walk away. Best no to take chances in such situations. 
event_city_campaign_11_result_a_a,"Intrigued by the parchment, you quickly make a decision to buy it off the Harrower. The exchange is fast, and then you move on your way, hoping no one saw you."
event_city_campaign_11_result_a_b,"You try to pay the Harrower less than it asks for, which only manages to anger it. It hisses loudly and shuns you."
event_city_campaign_11_result_b,You loudly refuse the Harrower’s offer and continue about your business. That thing should know better than to stray from the Sinking Market.
event_city_campaign_12_intro,"A great revelry is underway at the New Market when you arrive
to purchase supplies. Investigating further, you discover the town is in the midst of a pie-eating contest.

A group of large sailors sits triumphantly at a long table on a makeshift stage, crumbs and bits of fruit scattered all around. A man in the center stands and addresses the crowd.

“Can no one best our pie-eating prowess? Step up and test your mettle!” With nothing better to do, you head up to the stage.

The contest goes well for a while as you match the others pie-for-pie, but soon your eating starts to slow, and the sailors are still going strong."
event_city_campaign_12_option_a,Yield to the pie and admit defeat.
event_city_campaign_12_option_b,Power through the pain. You will not be bested. 
event_city_campaign_12_result_a,"You put down your utensils and yield to the sailors. They roar with pride and slap you on the back. Unfortunately, the sudden jolt doesn’t sit well with your stomach, and soon all the pies you ate are coming back up, much to the disgust of the gathered crowd."
event_city_campaign_12_result_b,"You emit a primal yell and continue eating. Pie after pie, your willpower cannot be broken, and eventually the sailors are forced to concede. However, you cannot even stand to shake your foes’ hands. Your legs are boneless, and your stomach feels worse than it has ever felt before. You have earned glory and prize money, but all you want to do is lie down and wait for the horror to pass."
event_city_campaign_13_intro,"You are walking across the Silent Bridge, headed toward the
Sleeping Lion to get a quick meal, when you see a Quatryl standing in front of a small cart laden with plates of food and
curious contraptions.

“Come try the delicacies of the East!” the Quatryl barks. “Food enhanced with science! Flavors beyond your wildest imagination!”"
event_city_campaign_13_option_a,Stop and try the food. 
event_city_campaign_13_option_b,Continue on your way to a less adventurous meal.
event_city_campaign_13_result_a,"You decide to indulge in the unknown and see what the Quatryl is offering. He looks very pleased at your approach and instructs you to inhale a tube of vapors, then take a
bite from a bowl full of tiny golden spheres. As the spheres melt in your mouth, the taste mixes with the aroma of the vapors to create a wonderful experience. You pay what you can, but the Quatryl seems solely focused on how much you enjoyed the meal."
event_city_campaign_13_result_b,"After a quick glance at the cart, you are not even sure how you would go about eating most of the food. Best to play it safe in these situations and stick to what you know will fill you up cheaply."
event_city_campaign_14_intro,"You hear screams from the south as you approach the docks
and see a group of women running toward you in a panic.

“An invasion!” They yell as they race by you, nearly knocking you over.

You hurry to the docks and find a crowd of workers on edge, armed with makeshift weapons and circling one particular pier.

Standing at the far end of the wooden planks is a group of Lurkers—terrifying crab-like monsters as big as an Inox and equally ferocious. Except these Lurkers don’t appear to be hostile. They are simply standing on the dock, clacking their claws in a strange rhythm."
event_city_campaign_14_option_a,Raise arms and fight the Lurkers back into the sea. 
event_city_campaign_14_option_b,Approach the Lurkers cautiously and attempt to communicate with them. 
event_city_campaign_14_result_a,"The crowd parts as you approach the dock with weapons drawn. You step onto the soft wood and the Lurkers turn toward you and stop clacking. They all hiss and brandish their claws in aggression. You charge forward and meet the threat head-on, hacking away at their carapaces until they scuttle off the dock and back into the water."
event_city_campaign_14_result_b,"The crowd parts as you move toward the dock with both confidence and care. The Lurkers notice your approach and continue to clack in your direction. You call out to them and ask why they are here, but all you get in response is a change in the tempo of their clacking. When you express confusion, they clack again in frustration and scuttle back into the ocean. The crowd is very impressed that you managed to ward off the creatures without using force."
event_city_campaign_15_intro,"It was a truly marvelous night, full of alcohol and fuzzy memories. You are heading back to your rooms in high spirits when you take a wrong turn into an alley and trip over a mutilated corpse.

“What’s all this, then?” You look up to see a city guard walk into the alley, annoyed by all the noise you were making in your revelry.

Before you can react, he draws his sword. “You...
what did you do?”

You look and see that, due to the fall, your clothes are now covered in blood. The guard clearly thinks you are responsible for the man’s death. This night just took a serious turn for the worse."
event_city_campaign_15_option_a,Do your best to explain that the man was like this when you found him.
event_city_campaign_15_option_b,"Panic and kill the guard, then dispose of both corpses."
event_city_campaign_15_result_a_a,"You sober up pretty quickly and explain the situation. Luckily, the guard is familiar with your reputation and believes your story. After a few more questions, he allows you to leave and clean up."
event_city_campaign_15_result_a_b,"Attempts to explain yourself just seem to make the situation worse. More guards show up and everyone eyes you
suspiciously. Luckily your weapons don’t match the man’s wounds, and the guards let you go, but they do so with a mistrustful glare."
event_city_campaign_15_result_b,"The unlucky guard falls to your blade before he is able to call for help. If the bodies are found, it could cause a lot of trouble for you."
event_city_campaign_15_result_b_a,"You go looking for someone who can properly dispose of the
mess. It’s not cheap, but one of your contacts promises to make the bodies disappear."
event_city_campaign_15_result_b_b,"Knowing you don’t have enough to professional help, you spend all night cleaning up the mess before anyone discovers it."
event_city_campaign_16_intro,"“Stop struggling! You’re coming with me and there’s nothing you can do about it!”

Ahead of you in the street, you see a pair of guards scuffling with a young boy dressed in rags. “You snatch purses, you go to the Ghost Fortress. No way around that.”

“But my family is starving,” the boy cries. You recognize his voice from some of your dealings in the Sunken Market. He’s given you helpful tips for mercenary work on a number of occasions."
event_city_campaign_16_option_a,Intervene on the boy's behalf. 
event_city_campaign_16_option_b,Let the guards haul the boy away to prison. 
event_city_campaign_16_result_a_a,"You entreat the guards to let the boy go, but they are unmoved. With further pressing, they agree to do so only if you pay his criminal fine. The guards cuff the boy’s ear and set him free."
event_city_campaign_16_result_a_b,"You entreat the guards to let the boy go, but they are unmoved. It seems like you may be able to grease their palms
a bit, but, unfortunately, you do not have enough money to sway their minds. The boy is hauled off to the Ghost Fortress."
event_city_campaign_16_result_b,"There are repercussions to getting caught, and like the guard said, sometimes there’s no way out of it. You owe the boy nothing, and so let the guards take him away."
event_city_campaign_17_intro,"Returning to Gloomhaven with your latest haul of treasure, you
approach the market in search of a good trade. Unfortunately, there are only a few visible stands around that are not yet packing up for the day.

A robed Savvas catches your eye. It has a few strange artifacts on display, but you approach with no great expectation, hoping your goods will fetch a decent price.

The Savvas silently nods as you approach. It picks through your haul and lifts up a single item, holding out a small bag for you in exchange.

Pouring out the bag’s contents, a single rectangular black-and-white coin lands in your palm."
event_city_campaign_17_option_a,Demand a different payment. The single coin is an insult. 
event_city_campaign_17_option_b,Accept the strange coin and research it for hidden value. 
event_city_campaign_17_result_a,"You slam the strange coin back down onto the Savvas’ display in anger. It reaches out to grab the coin, but you take hold of its arm and demand a proper payment. Wordlessly, it looks at you with disdain and throws a handful of gold in your face. You shield your eyes and move to draw your weapon, but when you look around, the Savvas and its goods are no longer to be found. You sullenly gather the coins it threw and move on."
event_city_campaign_17_result_b,"You calmly assess that the coin may possess much more value than it appears to have. You head to the University and spend hours looking through old records to no avail. You end the day in a tavern, easing the frustration with a drink and loud laments about the coin. “Those markings are very interesting.” You look up to see an Aesther standing over you. “They describe a special meeting place. I can show you where.”"
event_city_campaign_18_intro,"You are attending to business in the Sinking Market when a frail white-haired woman approaches you and grabs you by the arm.

“Oh my, don’t you lot look strong,” she says. “Could you possibly assist me with a small problem I am having in my cellar?”

Her eyes grow narrow. “Rats! So many rats! I don’t know where they’re coming from, but they are a right nuisance. Ruined three jars of preserves just yesterday!”

She tugs weakly at your sleeve. “Please, can you help me?”"
event_city_campaign_18_option_a,Decline to help the old woman.
event_city_campaign_18_option_b,Agree to help with the rat infestation. 
event_city_campaign_18_result_a,"You pull your arm away from her filthy grasp and step away, making apologies for being too busy. Your excuses lack the proper tact, however, and soon the woman is bawling in the street, lamenting that no one will help her and how the rats will kill her in her sleep, then feast on her corpse. The whole speech is very graphic, and passersby begin to give you odd looks, wondering what you could have done to upset the poor woman so intensely."
event_city_campaign_18_result_b,"You smile broadly and ask the woman to lead you to her house. It is a ramshackle dwelling half sunk into the muddy foundation. And inside there are certainly a lot of rats. You kill as many as you can, but in her cellar you find a large hole leading to a section of sewer that recently collapsed, leaving the pests with nowhere else to go. The woman thanks you for at least helping her to be able to sleep tonight and hands you a few coins."
event_city_campaign_19_intro,"A curious invitation is slipped under your door in the early
morning. It is for a wedding ceremony between the children of two wealthy Gloomhaven merchants. Your exploits seem
to have placed you in their good graces, and so they would like you to join them on this special occasion, provided you don’t show up in blood-soaked armor.

And for the love of the Great Oak, bring a gift."
event_city_campaign_19_option_a,Attend the wedding with an expensive gift. 
event_city_campaign_19_option_b,Attend the wedding and bring a mundane gift. 
event_city_campaign_19_result_a_a,"You head to the New Market and find a magnificent vase to bring as a gift. When the father of the bride sees it, he declares it the most wonderful piece he’s ever encountered. You are the talk of the town."
event_city_campaign_19_result_a_b,"You bring a very expensive vase as a gift, but you can’t seem to catch the father of the bride’s eye to present it at the right time."
event_city_campaign_19_result_b_a,"You pick up an unremarkable set of silverware on the way to the event. When you arrive, the father of the bride casts a scornful look your way and begins whispering to those around him. Maybe you received the invitation by mistake."
event_city_campaign_19_result_b_b,"You are one guest among many, and everyone is having too good of a time to notice your poor choice in gifts."
